player,career_length,backhand_type,aces,double_faults,first_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_won,2nd_serve_return_won,total_break_pts,break_pts_conv,return_games_played,return_games_won,return_points_won,total_pts_won,
Daniil Medvedev,8, Two-Handed Backhand,2845,1187,60,75,52,1897,63,4230,83,66,31,54,2664,42,4238,26,39,52,
Alexander Zverev,9, Two-Handed Backhand,3974,1973,65,74,50,2709,61,6037,82,66,31,51,3631,42,6045,25,38,52,
Novak Djokovic,19, Two-Handed Backhand,6440,2672,65,74,55,6017,66,14578,86,67,34,55,10278,44,14179,32,42,54,
Rafael Nadal,21, Two-Handed Backhand,3856,2066,68,72,57,6309,67,14780,86,67,34,55,10943,45,14633,34,42,55,
Casper Ruud,7, Two-Handed Backhand,986,461,65,72,54,1137,63,2529,83,66,29,51,1424,41,2466,24,37,52,
Stefanos Tsitsipas,6, One-Handed Backhand,2329,735,62,76,55,1679,65,4250,86,68,29,49,2205,40,4154,21,36,52,
Carlos Alcaraz,4, Two-Handed Backhand,267,196,64,70,54,569,62,1080,80,64,34,53,798,43,1085,32,41,53,
Andrey Rublev,8, Two-Handed Backhand,2072,890,60,74,50,1931,62,3900,81,65,30,53,2412,40,3914,25,39,52,
Felix Auger-Aliassime,5, Two-Handed Backhand,1945,919,64,75,50,1317,63,2719,82,66,30,48,1466,38,2678,21,37,51,
Hubert Hurkacz,7, Two-Handed Backhand,1715,447,63,75,52,1087,64,2422,84,66,28,48,1228,38,2386,19,36,51,
Matteo Berrettini,7, Two-Handed Backhand,1962,395,63,78,53,1030,69,2619,88,69,28,46,1298,36,2620,18,35,52,
Cameron Norrie,5, Two-Handed Backhand,1031,668,65,70,50,1470,62,2653,79,63,30,51,1542,42,2653,24,38,51,
Jannik Sinner,4, Two-Handed Backhand,692,304,60,71,53,991,64,1829,81,64,32,52,1115,43,1822,27,40,52,
Taylor Fritz,7, Two-Handed Backhand,2596,725,59,75,51,1747,62,3644,82,65,26,50,1921,36,3616,19,35,50,
Diego Schwartzman,12, Two-Handed Backhand,809,1140,63,66,50,3038,57,4799,73,60,34,55,3571,44,4860,32,42,51,
Denis Shapovalov,5, One-Handed Backhand,2130,1370,59,76,52,1610,66,3358,84,66,28,48,1721,37,3350,19,36,51,
Marin Cilic,17, Two-Handed Backhand,7778,2521,57,77,52,4890,64,10790,84,66,30,50,6276,38,10660,23,38,52,
Reilly Opelka,7, Two-Handed Backhand,2967,466,64,79,55,699,68,2217,90,70,21,42,709,31,2187,10,28,50,
Pablo Carreno Busta,13, Two-Handed Backhand,1723,784,65,69,52,2949,61,5313,78,63,29,52,3129,41,5313,24,38,51,
Roberto Bautista Agut,17, Two-Handed Backhand,1745,1064,66,70,54,3579,62,6855,80,64,30,53,4290,42,6730,27,40,52,
Grigor Dimitrov,14, One-Handed Backhand,4049,2096,62,74,51,3593,63,7617,82,66,30,49,4283,39,7502,22,37,51,
Karen Khachanov,9, Two-Handed Backhand,2660,914,62,74,52,2133,64,4339,82,65,28,50,2283,40,4350,21,37,51,
Gael Monfils,18, Two-Handed Backhand,6668,2917,62,73,50,5061,62,10120,81,64,32,49,6203,41,10112,25,39,51,
Alex de Minaur,7, Two-Handed Backhand,780,517,60,70,53,1446,61,2650,79,63,31,51,1596,41,2674,24,39,51,
John Isner,15, Two-Handed Backhand,13634,1674,69,79,56,2936,71,10485,92,72,22,42,3521,30,10371,10,30,51,
Botic van de Zandschulp,9, Two-Handed Backhand,349,192,64,72,50,453,65,777,80,64,31,49,472,40,789,24,38,51,
Nikoloz Basilashvili,14, Two-Handed Backhand,1161,1239,59,68,49,2220,58,3503,73,60,29,50,1988,39,3515,22,37,49,
Frances Tiafoe,7, Two-Handed Backhand,1616,600,62,71,52,1655,61,3192,80,64,27,49,1598,38,3201,19,35,50,
Holger Rune,2, Two-Handed Backhand,147,157,62,69,51,317,58,560,76,62,31,52,357,41,571,26,39,50,
Miomir Kecmanovic,5, Two-Handed Backhand,607,331,61,70,54,1064,62,1860,78,64,28,51,1060,40,1870,23,37,50,
Filip Krajinovic,14, Two-Handed Backhand,988,420,64,68,51,1563,61,2586,76,62,29,51,1475,41,2588,24,38,50,
Lorenzo Sonego,9, Two-Handed Backhand,983,320,65,72,51,1013,63,2036,82,65,29,46,1026,37,2022,19,35,50,
Daniel Evans,16, One-Handed Backhand,877,587,61,70,51,1530,61,2607,77,63,30,50,1487,41,2636,23,38,50,
Jenson Brooksby,1, Two-Handed Backhand,121,62,64,68,52,302,56,560,76,62,32,51,373,40,554,27,40,51,
